SalespersonID,Name,Region,Manager,Experience
S01,Salesperson 1,East,Manager 1,1
S02,Salesperson 2,West,Manager 1,11
S03,Salesperson 3,West,Manager 1,1
S04,Salesperson 4,North,Manager 1,9
S05,Salesperson 5,West,Manager 1,1
S06,Salesperson 6,North,Manager 2,9
S07,Salesperson 7,East,Manager 2,9
S08,Salesperson 8,East,Manager 2,1
S09,Salesperson 9,West,Manager 2,13
S10,Salesperson 10,South,Manager 2,2
S11,Salesperson 11,North,Manager 3,9
S12,Salesperson 12,South,Manager 3,4
S13,Salesperson 13,South,Manager 3,10
S14,Salesperson 14,East,Manager 3,14
S15,Salesperson 15,East,Manager 3,5
S16,Salesperson 16,West,Manager 4,2
S17,Salesperson 17,East,Manager 4,7
S18,Salesperson 18,West,Manager 4,10
S19,Salesperson 19,South,Manager 4,12
S20,Salesperson 20,South,Manager 4,5
S21,Salesperson 21,North,Manager 5,11
S22,Salesperson 22,North,Manager 5,2
S23,Salesperson 23,West,Manager 5,7
S24,Salesperson 24,West,Manager 5,9
S25,Salesperson 25,West,Manager 5,1
S26,Salesperson 26,North,Manager 6,12
S27,Salesperson 27,South,Manager 6,2
S28,Salesperson 28,West,Manager 6,14
S29,Salesperson 29,West,Manager 6,11
S30,Salesperson 30,East,Manager 6,10
S31,Salesperson 31,North,Manager 7,15
S32,Salesperson 32,North,Manager 7,4
S33,Salesperson 33,South,Manager 7,15
S34,Salesperson 34,West,Manager 7,5
S35,Salesperson 35,North,Manager 7,15
