SalespersonID,Year,Month,SalesTarget
S01,2024,1,532459
S02,2024,1,553991
S03,2024,1,754611
S04,2024,1,506415
S05,2024,1,341689
S06,2024,1,648670
S07,2024,1,778946
S08,2024,1,670343
S09,2024,1,785839
S10,2024,1,830209
S11,2024,1,698191
S12,2024,1,723482
S13,2024,1,358483
S14,2024,1,775229
S15,2024,1,361191
S16,2024,1,495915
S17,2024,1,652907
S18,2024,1,324356
S19,2024,1,778657
S20,2024,1,700337
S21,2024,1,748458
S22,2024,1,747487
S23,2024,1,346777
S24,2024,1,705331
S25,2024,1,674471
S26,2024,1,320217
S27,2024,1,840652
S28,2024,1,678563
S29,2024,1,455171
S30,2024,1,747256
S31,2024,1,385855
S32,2024,1,349548
S33,2024,1,741304
S34,2024,1,837811
S35,2024,1,729661
S01,2024,2,690544
S02,2024,2,662955
S03,2024,2,519346
S04,2024,2,442548
S05,2024,2,704217
S06,2024,2,567009
S07,2024,2,820568
S08,2024,2,584314
S09,2024,2,412507
S10,2024,2,572299
S11,2024,2,367225
S12,2024,2,489410
S13,2024,2,585235
S14,2024,2,314680
S15,2024,2,572624
S16,2024,2,504990
S17,2024,2,896434
S18,2024,2,757128
S19,2024,2,845664
S20,2024,2,597306
S21,2024,2,839804
S22,2024,2,520568
S23,2024,2,633817
S24,2024,2,706612
S25,2024,2,352516
S26,2024,2,307469
S27,2024,2,305605
S28,2024,2,370521
S29,2024,2,878995
S30,2024,2,462929
S31,2024,2,308105
S32,2024,2,838595
S33,2024,2,811987
S34,2024,2,410808
S35,2024,2,706299
S01,2024,3,527258
S02,2024,3,856964
S03,2024,3,878185
S04,2024,3,427666
S05,2024,3,525993
S06,2024,3,452143
S07,2024,3,799913
S08,2024,3,385169
S09,2024,3,893897
S10,2024,3,399709
S11,2024,3,830530
S12,2024,3,531091
S13,2024,3,886187
S14,2024,3,410923
S15,2024,3,860239
S16,2024,3,801088
S17,2024,3,434821
S18,2024,3,401003
S19,2024,3,733392
S20,2024,3,648622
S21,2024,3,302860
S22,2024,3,402054
S23,2024,3,850222
S24,2024,3,377602
S25,2024,3,787961
S26,2024,3,679626
S27,2024,3,778779
S28,2024,3,741432
S29,2024,3,308351
S30,2024,3,407527
S31,2024,3,836258
S32,2024,3,333539
S33,2024,3,845179
S34,2024,3,751979
S35,2024,3,760887
S01,2024,4,634922
S02,2024,4,431202
S03,2024,4,432268
S04,2024,4,731485
S05,2024,4,437539
S06,2024,4,621087
S07,2024,4,390709
S08,2024,4,650005
S09,2024,4,434947
S10,2024,4,843509
S11,2024,4,535767
S12,2024,4,476218
S13,2024,4,835157
S14,2024,4,412568
S15,2024,4,723313
S16,2024,4,757686
S17,2024,4,653365
S18,2024,4,384331
S19,2024,4,811173
S20,2024,4,813000
S21,2024,4,510675
S22,2024,4,381470
S23,2024,4,516244
S24,2024,4,387499
S25,2024,4,783278
S26,2024,4,603713
S27,2024,4,897014
S28,2024,4,557925
S29,2024,4,421342
S30,2024,4,550913
S31,2024,4,641999
S32,2024,4,444308
S33,2024,4,812659
S34,2024,4,747454
S35,2024,4,491224
S01,2024,5,661371
S02,2024,5,659333
S03,2024,5,559038
S04,2024,5,815746
S05,2024,5,743624
S06,2024,5,687862
S07,2024,5,365650
S08,2024,5,397336
S09,2024,5,843870
S10,2024,5,433735
S11,2024,5,636056
S12,2024,5,758535
S13,2024,5,744448
S14,2024,5,653958
S15,2024,5,415606
S16,2024,5,701995
S17,2024,5,524917
S18,2024,5,415041
S19,2024,5,777900
S20,2024,5,477740
S21,2024,5,791574
S22,2024,5,400284
S23,2024,5,645732
S24,2024,5,564065
S25,2024,5,860780
S26,2024,5,503730
S27,2024,5,733489
S28,2024,5,480517
S29,2024,5,860992
S30,2024,5,397519
S31,2024,5,504705
S32,2024,5,601282
S33,2024,5,427385
S34,2024,5,545653
S35,2024,5,649959
S01,2024,6,324633
S02,2024,6,496953
S03,2024,6,511482
S04,2024,6,597009
S05,2024,6,721791
S06,2024,6,312976
S07,2024,6,796385
S08,2024,6,626280
S09,2024,6,736016
S10,2024,6,829543
S11,2024,6,762399
S12,2024,6,641587
S13,2024,6,767509
S14,2024,6,616169
S15,2024,6,610140
S16,2024,6,748679
S17,2024,6,630619
S18,2024,6,619361
S19,2024,6,565234
S20,2024,6,865020
S21,2024,6,449327
S22,2024,6,420481
S23,2024,6,840312
S24,2024,6,812152
S25,2024,6,528244
S26,2024,6,884816
S27,2024,6,485486
